Damp soil
Spiny tibiae
Broken band
White maculations
Sunlit banks
Green venter
Narrow pronotum
Median band
Pale labrum
Glossy elytra
Open ground
Bulging eyes
Sandy flats
Filiform antennae
Metallic purple
Long legs
